"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
1,0.74117,0.746326666666667,0.81086,0.819733333333333,0.06969,0.0734066666666666,1.09406562559103,1.09837638334578,0.00515666666666668,0.00887333333333334,1.00698397609821,1.01096775549654,0.0785633333333333,1.10603700901435
2,0.753076666666667,0.757066666666667,0.80263,0.816143333333333,0.0495533333333333,0.0590766666666667,1.06582089562779,1.07807080681788,0.00398999999999999,0.0135133333333333,1.00531896216439,1.01686626485396,0.0630666666666667,1.08377180001798
3,0.72614,0.729726666666667,0.824883333333333,0.830836666666667,0.0987433333333333,0.10111,1.13601296856001,1.13861517242991,0.00358666666666666,0.00595333333333334,1.00497280490356,1.00723278833444,0.104696666666667,1.14421171945344
4,0.7328,0.736606666666667,0.813973333333333,0.822176666666667,0.0811733333333333,0.08557,1.11080510820434,1.1161984928693,0.00380666666666668,0.00820333333333333,1.00521522288976,1.01009586537932,0.0893766666666667,1.1219973512883
5,0.745393333333333,0.750076666666667,0.816426666666667,0.822946666666667,0.0710333333333333,0.07287,1.09534456445114,1.0971774730608,0.00468333333333333,0.00652,1.00632702630091,1.00800480554918,0.0775533333333333,1.10409260762236
6,0.733943333333333,0.74183,0.823783333333333,0.828736666666667,0.08984,0.0869066666666667,1.12244192820429,1.1171720600896,0.00788666666666665,0.00495333333333334,1.0107782847024,1.00604009319519,0.0947933333333333,1.12920090131698
7,0.740356666666667,0.74435,0.80872,0.817126666666667,0.0683633333333333,0.0727766666666667,1.09237349116775,1.09781451109152,0.00399333333333333,0.00840666666666665,1.00542518824005,1.01042245140783,0.07677,1.10371720861389
8,0.709083333333333,0.713036666666667,0.81992,0.828466666666667,0.110836666666667,0.11543,1.15633251208107,1.16193777265309,0.00395333333333332,0.00854666666666666,1.00559790350262,1.01044033876356,0.119383333333333,1.1683778076393
9,0.750186666666667,0.759926666666667,0.81277,0.82118,0.0625833333333333,0.0612533333333333,1.08345767564472,1.08065207516633,0.00973999999999999,0.00841,1.01300833474627,1.01036896151116,0.0709933333333333,1.09465962131266
10,0.741896666666667,0.74643,0.819253333333333,0.828193333333333,0.0773566666666667,0.0817633333333334,1.10430228562645,1.109563033646,0.00453333333333332,0.00894000000000001,1.00614420334479,1.01094308961854,0.0862966666666667,1.11636018317056
11,0.764423333333333,0.77072,0.819216666666667,0.827916666666667,0.0547933333333333,0.0571966666666667,1.07172187799679,1.07425462438331,0.00629666666666668,0.00869999999999999,1.00826766456345,1.0106512875836,0.0634933333333333,1.08308684550945
12,0.740273333333333,0.745076666666667,0.81191,0.82028,0.0716366666666667,0.0752033333333333,1.09680754743364,1.10095858343657,0.00480333333333334,0.00837,1.00651745941945,1.01033341421444,0.0800066666666667,1.10811561141417
13,0.721366666666667,0.724193333333333,0.827043333333333,0.833343333333333,0.105676666666667,0.10915,1.14652414390436,1.15076806349541,0.00282666666666667,0.0063,1.00394731499744,1.00763628282823,0.111976666666667,1.15525746611485
14,0.71449,0.720403333333333,0.82704,0.831176666666667,0.11255,0.110773333333333,1.15757029716544,1.15380250146344,0.00591333333333333,0.00413666666666667,1.00830341613746,1.00502305603488,0.116686666666667,1.16335885398778
15,0.74832,0.75169,0.81605,0.826636666666667,0.06773,0.0749466666666667,1.09054215805105,1.09974140304332,0.00336999999999999,0.0105866666666666,1.00453772636355,1.0130017230095,0.0783166666666667,1.1047016153399
16,0.74291,0.74874,0.81509,0.82497,0.07218,0.07623,1.09719612504913,1.10183228525854,0.00583000000000002,0.00987999999999998,1.00788774215744,1.01215520842653,0.08206,1.11048610773078
17,0.717553333333333,0.725486666666667,0.813536666666667,0.819726666666667,0.0959833333333333,0.09424,1.13379233698553,1.12995141179015,0.00793333333333333,0.00619000000000001,1.01108343135069,1.00764052488479,0.102173333333333,1.14241946318749
18,0.72738,0.73463,0.81676,0.825596666666667,0.08938,0.0909666666666667,1.12291136307787,1.12384283914121,0.00725,0.00883666666666666,1.0099947137235,1.01084607910828,0.0982166666666667,1.13505904598158
19,0.72453,0.73059,0.813453333333333,0.822363333333333,0.0889233333333333,0.0917733333333333,1.12275804661869,1.12566753422141,0.00606000000000001,0.00890999999999999,1.00838354629895,1.01097296515975,0.0978333333333333,1.13505128822176
20,0.714933333333333,0.719093333333333,0.811053333333333,0.818523333333333,0.09612,0.09943,1.13449976034697,1.13830161370599,0.00416,0.00747,1.00586572357446,1.00923566535202,0.10359,1.1449379984248
21,0.72334,0.72153,0.823713333333333,0.834153333333333,0.100373333333333,0.112623333333333,1.13879730148676,1.15612215980982,-0.00181,0.01044,0.997521675980634,1.01270805396074,0.110813333333333,1.1532312445882
22,0.727636666666667,0.73504,0.80849,0.821483333333333,0.0808533333333333,0.0864433333333333,1.11115178987195,1.11764579176411,0.00740333333333335,0.0129933333333333,1.01020490280651,1.01609322840727,0.0938466666666667,1.12901843917669
23,0.743036666666667,0.748506666666667,0.81942,0.82647,0.0763833333333333,0.0779633333333333,1.10284087368835,1.10419832052725,0.00547,0.00705000000000001,1.00740105459229,1.00861456268078,0.0834333333333333,1.11233398465899
24,0.739953333333333,0.74373,0.803186666666667,0.811013333333333,0.0632333333333333,0.0672833333333333,1.08551357014562,1.09051975492085,0.00377666666666666,0.00782666666666666,1.00515489729883,1.00977755150432,0.07106,1.09610195088956
25,0.716786666666667,0.714006666666667,0.815363333333333,0.819003333333333,0.0985766666666667,0.104996666666667,1.1375651813102,1.14709237230818,-0.00278000000000001,0.00364000000000001,0.99614771941556,1.00448221462042,0.102216666666667,1.1426424830596
26,0.73166,0.738456666666667,0.827833333333333,0.836423333333333,0.0961733333333333,0.0979666666666667,1.13149686967228,1.13268654293268,0.00679666666666666,0.00858999999999999,1.0093291457907,1.01039158301822,0.104763333333333,1.1432307819017
27,0.741616666666667,0.75061,0.818683333333333,0.826476666666667,0.0770666666666667,0.0758666666666667,1.10395869258779,1.10112258597884,0.00899333333333333,0.00779333333333334,1.01217436767942,1.00952372257888,0.08486,1.11445835469134
28,0.724173333333333,0.73027,0.822833333333333,0.831953333333333,0.09866,0.101683333333333,1.13630077608485,1.13928263023196,0.00609666666666667,0.00912,1.00847241167059,1.01110353175317,0.10778,1.14889031695425
29,0.750393333333333,0.757256666666667,0.80739,0.81426,0.0569966666666667,0.0570033333333333,1.07599163523037,1.07530671433687,0.00686333333333334,0.00687000000000001,1.00917318164911,1.00852072894581,0.0638666666666667,1.08514137302967
30,0.756093333333333,0.758013333333333,0.814486666666667,0.820406666666667,0.0583933333333333,0.0623933333333333,1.07726428174786,1.08233757344146,0.00192,0.00592000000000001,1.00256783896088,1.0072927727095,0.0643133333333333,1.08509684312938
31,0.75369,0.757596666666667,0.816963333333333,0.829836666666667,0.0632733333333333,0.07224,1.08398446294867,1.09538104559806,0.00390666666666666,0.0128733333333333,1.00521235708614,1.01578466649142,0.0761466666666667,1.10106937561612
32,0.736163333333333,0.741866666666667,0.80724,0.81715,0.0710766666666667,0.0752833333333333,1.09656727103105,1.10150759945744,0.00570333333333333,0.00991,1.00775657797328,1.01230297955476,0.0809866666666667,1.11002767951403
33,0.727693333333333,0.73027,0.800263333333333,0.80636,0.07257,0.07609,1.09975664376784,1.1042226527779,0.00257666666666667,0.00609666666666666,1.00356911046702,1.00763859189691,0.0786666666666667,1.10813748097301
34,0.735626666666667,0.73842,0.821873333333333,0.826903333333333,0.0862466666666667,0.0884833333333333,1.11726958664429,1.11985320855967,0.00279333333333334,0.00503000000000001,1.00381505633021,1.00613791235376,0.0912766666666667,1.12410345248503
35,0.735983333333333,0.74614,0.812256666666667,0.82453,0.0762733333333333,0.07839,1.10367879511517,1.10508322236781,0.0101566666666667,0.0122733333333333,1.01383535742809,1.01512711284538,0.0885466666666667,1.12035341120003
36,0.73907,0.74801,0.814583333333333,0.825646666666667,0.0755133333333333,0.0776366666666667,1.10221701191028,1.10382326183243,0.00894,0.0110633333333333,1.01212769477661,1.01361237242258,0.0865766666666667,1.11718938729849
37,0.744803333333333,0.748126666666667,0.799283333333333,0.810176666666667,0.05448,0.06205,1.07319394135487,1.08296553303589,0.00332333333333333,0.0108933333333333,1.0044874872356,1.01365405877716,0.0653733333333333,1.08781483584301
38,0.724526666666667,0.727153333333333,0.80469,0.813676666666667,0.0801633333333333,0.0865233333333333,1.11067846079565,1.11903192641068,0.00262666666666667,0.00898666666666667,1.00366676151621,1.01118794234744,0.08915,1.12309317029156
39,0.727403333333333,0.729036666666667,0.833563333333333,0.839483333333333,0.10616,0.110446666666667,1.14598824337332,1.15153016182857,0.00163333333333333,0.00592,1.00228239869286,1.0071161190809,0.11208,1.15411647653115
40,0.731333333333333,0.73588,0.813473333333333,0.82166,0.08214,0.08578,1.11235881544335,1.11662942302199,0.00454666666666666,0.00818666666666668,1.00624908737841,1.0100886493954,0.0903266666666667,1.12355599294989
41,0.740643333333333,0.748613333333333,0.821973333333333,0.831523333333333,0.08133,0.08291,1.10984872736381,1.11079003492259,0.00797,0.00955000000000001,1.01079831883918,1.01164413099858,0.09088,1.12273232499385
42,0.739933333333333,0.745063333333333,0.81806,0.82662,0.0781266666666667,0.0815566666666667,1.10561535405755,1.10952715934838,0.00513000000000001,0.00856000000000001,1.00694940485356,1.01049747844903,0.0866866666666667,1.11717707917487
43,0.739046666666667,0.74636,0.823273333333333,0.830743333333333,0.0842266666666667,0.0843833333333333,1.11399984470712,1.11310605595124,0.00731333333333333,0.00746999999999999,1.00994779151581,1.00909907482489,0.0916966666666666,1.12412377883165
44,0.728583333333333,0.733373333333333,0.815646666666667,0.82241,0.0870633333333333,0.0890366666666667,1.11953356356314,1.12144325984331,0.00478999999999999,0.00676333333333334,1.00661837034811,1.00830410718532,0.0938266666666667,1.12882641200453
45,0.763193333333333,0.7682,0.80016,0.808306666666667,0.0369666666666667,0.0401066666666667,1.04845296719872,1.05224533672325,0.00500666666666666,0.00814666666666666,1.00657889879485,1.01021441215372,0.0451133333333333,1.05912383144592
46,0.728793333333333,0.729066666666667,0.813873333333333,0.82558,0.08508,0.0965133333333333,1.11679216502351,1.13241660229988,0.00027333333333334,0.0117066666666667,1.00041759498169,1.0144196815898,0.0967866666666667,1.13285731076167
47,0.730593333333333,0.737326666666667,0.821553333333333,0.828313333333333,0.09096,0.0909866666666667,1.12452866872711,1.12344238228145,0.00673333333333332,0.00676,1.00924469662129,1.00824421691732,0.09772,1.13378846239827
